idPA,PA,Nom
13,Béta-phellandrène,"Lavande officinale ou Lavande vraie"
62,Camphre,"Tanaisie vulgare"
62,Camphre,"Tanaisie annum"
62,Camphre,"Lavande aspic"
62,Camphre,Armoise
62,Camphre,"Camphrier du Japon"
62,Camphre,Romarin
62,Camphre,"Sauge officinale"
12,Citronnellal,"Lavande officinale ou Lavande vraie"
3,Eugénol,"Bois d’Inde ou bay de Saint Thomas"
16,Linalol,"Lavande officinale ou Lavande vraie"
4,Méthyl-eugénol,"Basilic romain ou exotique"
5,"Salicylate de méthyle","Gaulthérie / Thé du Canada / Wintergreen"
5,"Salicylate de méthyle","Bouleau jaune et le Bouleau flexible"
5,"Salicylate de méthyle","Lavande officinale ou Lavande vraie"
5,"Salicylate de méthyle","Menthe poivrée"
1,Thymol,"Lavande officinale ou Lavande vraie"
